Very high human development				27884.27738	27845.86447	27867.3275	27892.26522	28248.30218	28604.74447	29300.87318	30207.76285	30811.60209	31561.57712	32743.04137	33135.3287	33456.67359	34168.14268	35279.07482	36196.68443	37384.64656	38194.1294	37952.64428	36658.29073	37712.89786	38450.30545	38963.81869	39431.12761	40099.45105	40941.16005	41413.1682	42291.24328	43022.5608	43623.08909	41657.31921	43751.59646
High human development				4336.040378	4418.20982	4491.438658	4606.619688	4751.589367	4866.102867	5077.646656	5290.954293	5331.263724	5448.129099	5727.672323	5927.089314	6192.087404	6501.871709	6911.605154	7314.653126	7881.423998	8566.230869	9064.738619	9321.273613	9967.097778	10488.03949	10997.2412	11447.83834	11972.77016	12353.99942	12836.96711	13403.66495	13916.54956	14404.98601	14270.30163	15167.24771
Medium human development				2386.839844	2332.388643	2356.82553	2403.609738	2460.840206	2557.653997	2680.504716	2763.31317	2878.610125	2983.344247	3018.643583	3101.151753	3129.02479	3203.565039	3430.471119	3620.809217	3831.573322	4054.547286	4161.530261	4331.180428	4540.80438	4774.347815	4923.049987	5102.134354	5328.17136	5586.679904	5826.547142	6086.411828	6330.346418	6475.844817	5991.144119	6353.491965
Low human development				2109.179187	2072.710467	2069.270638	1999.325859	1954.173732	1993.589265	2047.424757	2048.964667	2048.210182	2061.792002	2053.759692	2111.875373	2187.539658	2251.208203	2355.961178	2431.044102	2557.258631	2621.252112	2659.939971	2710.019351	2762.800144	2807.752638	2830.423902	2900.932409	2994.209523	3008.936978	3010.490574	3025.572874	3048.474307	3061.709377	2962.989013	3009.120913
Arab States				9707.256618	9559.879836	9924.886051	10030.47086	10033.86505	10114.83041	10428.22505	10707.10672	11089.64425	11027.72796	11353.81944	11372.50543	11106.13525	11360.44717	12011.12743	12323.17533	12832.65574	13230.24025	13678.01382	13415.19017	13521.86868	14045.85307	14143.8748	14045.0013	14057.15609	14258.53841	14442.67553	14286.29133	14294.54671	14257.78738	13360.97099	13500.55615
East Asia and the Pacific				2232.824865	2379.275464	2590.562321	2818.359215	3073.970566	3288.717691	3532.670093	3728.598439	3697.960342	3865.010898	4104.118243	4332.770221	4628.603311	4975.598065	5360.772955	5793.746752	6372.722954	7079.582671	7605.871242	8048.715525	8750.919217	9357.723849	9991.529671	10546.68782	11238.99492	11805.22066	12462.29484	13202.09732	13904.11501	14621.33428	14622.6361	15580.43686
Europe and Central Asia				11856.97152	11036.42392	10187.4269	9603.650457	8346.075282	8094.374539	8239.321302	8618.391085	8831.026999	8623.257209	9041.598611	9039.184996	9555.196439	10137.61418	11066.12703	11769.33462	12594.23056	13398.32823	13649.31285	12977.97958	13772.57032	14627.69645	15161.40943	15938.93486	16281.68629	16663.66528	16729.09393	17400.71295	17861.2888	18027.10959	18031.67782	19351.83702
Latin America and the Caribbean				10312.28063	10549.17741	10697.90861	10931.34104	11212.20032	11172.71187	11387.09307	11813.12746	11880.54439	11680.90531	11996.31967	11890.72668	11696.84649	11756.07664	12225.18929	12600.51709	13258.90907	13859.23061	14260.45704	13792.90852	14405.76566	14908.2416	15182.34194	15491.84989	15516.66697	15441.8236	15116.5092	15126.06718	15057.3943	14895.53164	13727.0032	14520.66124
South Asia				2225.209424	2262.494757	2329.408533	2357.586432	2406.013306	2505.024757	2616.020316	2646.948777	2722.934898	2852.283569	2919.15669	2982.672985	3059.720226	3231.790362	3404.101643	3579.948027	3782.967888	4013.731519	4062.72916	4245.960573	4477.712201	4635.989136	4741.28984	4923.642694	5183.331005	5449.187212	5789.022974	6116.711799	6355.589677	6471.972919	6077.350961	6481.393135
Sub-Saharan Africa				2878.044092	2824.023778	2648.992129	2570.493491	2523.854657	2584.196036	2637.199063	2670.050443	2661.178984	2649.92126	2618.797033	2676.551793	2775.765	2809.721833	2915.547746	3005.427561	3152.701307	3231.180967	3286.385279	3328.225297	3410.792995	3482.800168	3551.647275	3639.137221	3763.856396	3803.834306	3772.922733	3754.362823	3755.151307	3778.105787	3629.618138	3698.868914
World				9628.787491	9577.520238	9566.035153	9569.747374	9670.827056	9823.895808	10059.75326	10331.07446	10468.56727	10667.47697	11008.37509	11148.27215	11282.50594	11536.40701	11966.61887	12335.86253	12841.50433	13302.99294	13407.20641	13215.11345	13700.12551	14069.2191	14356.94128	14627.80308	14985.56805	15326.54803	15614.11875	16022.41006	16372.22453	16652.53351	15963.88897	16752.08292
